HDR,ROLLING SYSTEM DEMAND
VD,20210101000000,28762
VD,20210101000500,28859
VD,20210101001000,28962
VD,20210101001500,28992
VD,20210101002000,28898
VD,20210101002500,28822
VD,20210101003000,28861
VD,20210101003500,29083
VD,20210101004000,29144
VD,20210101004500,29136
VD,20210101005000,29093
VD,20210101005500,28974
VD,20210101010000,28852
VD,20210101010500,28750
VD,20210101011000,28530
VD,20210101011500,28289
VD,20210101012000,28137
VD,20210101012500,28063
VD,20210101013000,27906
VD,20210101013500,27794
VD,20210101014000,27675
VD,20210101014500,27608
VD,20210101015000,27623
VD,20210101015500,27687
VD,20210101020000,27608
VD,20210101020500,27434
VD,20210101021000,27272
VD,20210101021500,27129
VD,20210101022000,27012
VD,20210101022500,26927
VD,20210101023000,26888
VD,20210101023500,26936
VD,20210101024000,26831
VD,20210101024500,26718
VD,20210101025000,26664
VD,20210101025500,26653
VD,20210101030000,26685
VD,20210101030500,26506
VD,20210101031000,26389
VD,20210101031500,26323
VD,20210101032000,26361
VD,20210101032500,26366
VD,20210101033000,26283
VD,20210101033500,25985
VD,20210101034000,25805
VD,20210101034500,25861
VD,20210101035000,25833
VD,20210101035500,25772
VD,20210101040000,25693
VD,20210101040500,25589
VD,20210101041000,25567
VD,20210101041500,25540
VD,20210101042000,25512
VD,20210101042500,25386
VD,20210101043000,25302
VD,20210101043500,25245
VD,20210101044000,25168
VD,20210101044500,25158
VD,20210101045000,25066
VD,20210101045500,25043
VD,20210101050000,25104
VD,20210101050500,25216
VD,20210101051000,25234
VD,20210101051500,25166
VD,20210101052000,25074
VD,20210101052500,25007
VD,20210101053000,24952
VD,20210101053500,24918
VD,20210101054000,24932
VD,20210101054500,24948
VD,20210101055000,25001
VD,20210101055500,25048
VD,20210101060000,25127
VD,20210101060500,25308
VD,20210101061000,25434
VD,20210101061500,25513
VD,20210101062000,25625
VD,20210101062500,25735
VD,20210101063000,25782
VD,20210101063500,25935
VD,20210101064000,26040
VD,20210101064500,26071
VD,20210101065000,25960
VD,20210101065500,25787
VD,20210101070000,25667
VD,20210101070500,25553
VD,20210101071000,25577
VD,20210101071500,25690
VD,20210101072000,25717
VD,20210101072500,25769
VD,20210101073000,25832
VD,20210101073500,25834
VD,20210101074000,25803
VD,20210101074500,25816
VD,20210101075000,25833
VD,20210101075500,25864
VD,20210101080000,25926
VD,20210101080500,26029
